platform,simulator,dataset_variant,summary,score
Visium,SRTsim-rf-domain,SpatialDE,copy_similarity,0.9999401899462734
MERFISH,SRTsim-rf-domain,SpatialDE,Balanced Realism,0.9121074759989374
MERFISH,SRTsim-rf-domain,SpatialDE,Spatial Tissue Fidelity,0.8993541047728758
MERFISH,SRTsim-rf-domain,SpatialDE,Novelty-Gated Plausibility,0.14907415318252545
MERFISH,SRTsim-rf-domain,SpatialDE,Conservative Minimum Plausibility,0.872516050918591
MERFISH,SRTsim-rf-domain,SpatialDE,coverage_Q,1.0
MERFISH,SRTsim-rf-domain,SpatialDE,novelty_gate,0.16343924055579073
MERFISH,SRTsim-rf-domain,SpatialDE,copy_similarity,0.9918280379722104
MERFISH,SRTsim-rf-tissue,SpatialDE,Balanced Realism,0.9064120931223143
MERFISH,SRTsim-rf-tissue,SpatialDE,Spatial Tissue Fidelity,0.8907142316929035
MERFISH,SRTsim-rf-tissue,SpatialDE,Novelty-Gated Plausibility,0.009141165606613632
MERFISH,SRTsim-rf-tissue,SpatialDE,Conservative Minimum Plausibility,0.8439272581856616
MERFISH,SRTsim-rf-tissue,SpatialDE,coverage_Q,1.0
MERFISH,SRTsim-rf-tissue,SpatialDE,novelty_gate,0.010084999611076562
MERFISH,SRTsim-rf-tissue,SpatialDE,copy_similarity,0.9994957500194461
Visium,SpatialcoGCN-rb,Spapros,Balanced Realism,0.407007078760692
Visium,SpatialcoGCN-rb,Spapros,Spatial Tissue Fidelity,0.49488520387689805
Visium,SpatialcoGCN-rb,Spapros,Novelty-Gated Plausibility,0.407007078760692
Visium,SpatialcoGCN-rb,Spapros,Conservative Minimum Plausibility,0.14337270341207353
Visium,SpatialcoGCN-rb,Spapros,coverage_Q,1.0
Visium,SpatialcoGCN-rb,Spapros,novelty_gate,1.0
Visium,SpatialcoGCN-rb,Spapros,copy_similarity,0.1421666959030762
Xenium,scCube-rb,Xenium,Balanced Realism,0.7702302008439341
Xenium,scCube-rb,Xenium,Spatial Tissue Fidelity,0.8727909205512665
Xenium,scCube-rb,Xenium,Novelty-Gated Plausibility,0.7702302008439341
Xenium,scCube-rb,Xenium,Conservative Minimum Plausibility,0.4625480417219372
Xenium,scCube-rb,Xenium,coverage_Q,1.0
Xenium,scCube-rb,Xenium,novelty_gate,1.0
Xenium,scCube-rb,Xenium,copy_similarity,0.8656675568709084
Visium,scCube-rfb,Spapros,Balanced Realism,0.6602324112311595
Visium,scCube-rfb,Spapros,Spatial Tissue Fidelity,0.6982095415054915
Visium,scCube-rfb,Spapros,Novelty-Gated Plausibility,0.6602324112311595
Visium,scCube-rfb,Spapros,Conservative Minimum Plausibility,0.3939596717322119
Visium,scCube-rfb,Spapros,coverage_Q,1.0
Visium,scCube-rfb,Spapros,novelty_gate,1.0
Visium,scCube-rfb,Spapros,copy_similarity,0.3418635379490567
Xenium,scDesign3-rb,Xenium,Balanced Realism,0.9403064891650559
Xenium,scDesign3-rb,Xenium,Spatial Tissue Fidelity,0.9312813424363043
Xenium,scDesign3-rb,Xenium,Novelty-Gated Plausibility,0.0005153429667561887
Xenium,scDesign3-rb,Xenium,Conservative Minimum Plausibility,0.7938440373083546
Xenium,scDesign3-rb,Xenium,coverage_Q,1.0
Xenium,scDesign3-rb,Xenium,novelty_gate,0.0005480585029395968
Xenium,scDesign3-rb,Xenium,copy_similarity,0.999972597074853
Xenium,SRTsim-rb-tissue,Xenium,Balanced Realism,0.9937538639660785
Xenium,SRTsim-rb-tissue,Xenium,Spatial Tissue Fidelity,0.9965743925201486
Xenium,SRTsim-rb-tissue,Xenium,Novelty-Gated Plausibility,0.00022034432732695363
Xenium,SRTsim-rb-tissue,Xenium,Conservative Minimum Plausibility,0.9852922783038683
Xenium,SRTsim-rb-tissue,Xenium,coverage_Q,1.0
Xenium,SRTsim-rb-tissue,Xenium,novelty_gate,0.00022172927856356495
Xenium,SRTsim-rb-tissue,Xenium,copy_similarity,0.9999889135360718
Visium,SRTsim-rf-domain,Spapros,Balanced Realism,0.8733338732095026
Visium,SRTsim-rf-domain,Spapros,Spatial Tissue Fidelity,0.8390966711949505
Visium,SRTsim-rf-domain,Spapros,Novelty-Gated Plausibility,0.00014186609761246129
Visium,SRTsim-rf-domain,Spapros,Conservative Minimum Plausibility,0.7461420310806045
Visium,SRTsim-rf-domain,Spapros,coverage_Q,1.0
Visium,SRTsim-rf-domain,Spapros,novelty_gate,0.00016244199608461685
Visium,SRTsim-rf-domain,Spapros,copy_similarity,0.9999918779001957
Visium,scCube-rfb,SpatialDE,Balanced Realism,0.8405169240106912
Visium,scCube-rfb,SpatialDE,Spatial Tissue Fidelity,0.9128110239128325
Visium,scCube-rfb,SpatialDE,Novelty-Gated Plausibility,0.8405169240106912
Visium,scCube-rfb,SpatialDE,Conservative Minimum Plausibility,0.6236346243042672
Visium,scCube-rfb,SpatialDE,coverage_Q,1.0
Visium,scCube-rfb,SpatialDE,novelty_gate,1.0
Visium,scCube-rfb,SpatialDE,copy_similarity,0.2791861565390327
MERFISH,SRTsim-rf-domain,Spapros,Balanced Realism,0.9045504549126228
MERFISH,SRTsim-rf-domain,Spapros,Spatial Tissue Fidelity,0.9003970449815557
MERFISH,SRTsim-rf-domain,Spapros,Novelty-Gated Plausibility,0.18334015791180228
MERFISH,SRTsim-rf-domain,Spapros,Conservative Minimum Plausibility,0.8730841888102885
MERFISH,SRTsim-rf-domain,Spapros,coverage_Q,1.0
MERFISH,SRTsim-rf-domain,Spapros,novelty_gate,0.20268649130192795
MERFISH,SRTsim-rf-domain,Spapros,copy_similarity,0.9898656754349036
MERFISH,SRTsim-rb-domain,Spapros,Balanced Realism,0.9807746337587702
MERFISH,SRTsim-rb-domain,Spapros,Spatial Tissue Fidelity,0.9855149991134168
MERFISH,SRTsim-rb-domain,Spapros,Novelty-Gated Plausibility,0.007799657170911738
MERFISH,SRTsim-rb-domain,Spapros,Conservative Minimum Plausibility,0.9568926559771479
MERFISH,SRTsim-rb-domain,Spapros,coverage_Q,1.0
MERFISH,SRTsim-rb-domain,Spapros,novelty_gate,0.007952547815210043
MERFISH,SRTsim-rb-domain,Spapros,copy_similarity,0.9996023726092395
MERFISH,scCube-rfb,Spapros,Balanced Realism,0.8701311138302827
MERFISH,scCube-rfb,Spapros,Spatial Tissue Fidelity,0.9433906894751402
MERFISH,scCube-rfb,Spapros,Novelty-Gated Plausibility,0.8701311138302827
MERFISH,scCube-rfb,Spapros,Conservative Minimum Plausibility,0.6503523868957101
MERFISH,scCube-rfb,Spapros,coverage_Q,1.0
MERFISH,scCube-rfb,Spapros,novelty_gate,1.0
MERFISH,scCube-rfb,Spapros,copy_similarity,0.7804525548574578
Visium,SRTsim-rb-tissue,SpatialDE,Balanced Realism,0.9931483040496099
Visium,SRTsim-rb-tissue,SpatialDE,Spatial Tissue Fidelity,0.9950455665002839
