platform,dataset_variant,simulator,family,metric,value,evidence_state
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Spatial Tissue Fidelity,0.9186411135820176,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Novelty-Gated Plausibility,0.8490818559482994,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Conservative Minimum Plausibility,0.6404040830471451,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,coverage_Q,1.0,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,novelty_gate,1.0,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,copy_similarity,0.7773507141305905,computed
MERFISH,SpatialDE,scCube-rfb,E3_scalability,compute_seconds,18.34,computed
MERFISH,SpatialDE,scCube-rfb,E3_scalability,peak_memory_gb,1.37,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,library_size,0.09866305724530389,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,effective_library_size,0.16645301508583524,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,fraction_zero_gene,0.026905829596412557,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,fraction_zero_spot,0.1126260770287386,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,mean_expression,0.03587443946188341,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,variance_expression,0.05829596412556054,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,scaled_variance,0.07623318385650224,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,pearson_cell_correlation,0.038104580916183295,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,spearman_cell_correlation,0.05400736147229446,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,SVG_precision,0.7272727272727273,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,SVG_recall,0.7272727272727273,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,SVG_jaccard,0.5714285714149661,computed
