platform,simulator,dataset_variant,component,score,evidence_state
Xenium,SRTsim-rb-tissue,Xenium,proximity_composition,0.9999999900005584,computed
Visium,SRTsim-rf-domain,Spapros,expression,0.976045479253159,computed
Visium,SRTsim-rf-domain,Spapros,spatial_gene,0.8216607565752381,computed
Visium,SRTsim-rf-domain,Spapros,layout,0.9494872259290089,computed
Visium,SRTsim-rf-domain,Spapros,proximity_composition,0.7461420310806045,computed
Visium,scCube-rfb,SpatialDE,expression,0.6236346243042672,computed
Visium,scCube-rfb,SpatialDE,spatial_gene,0.7744266320907818,computed
Visium,scCube-rfb,SpatialDE,layout,1.0,computed
Visium,scCube-rfb,SpatialDE,proximity_composition,0.9640064396477159,computed
MERFISH,SRTsim-rf-domain,Spapros,expression,0.9170106847058243,computed
MERFISH,SRTsim-rf-domain,Spapros,spatial_gene,0.8730841888102885,computed
MERFISH,SRTsim-rf-domain,Spapros,layout,0.883995752500008,computed
MERFISH,SRTsim-rf-domain,Spapros,proximity_composition,0.9441111936343707,computed
MERFISH,SRTsim-rb-domain,Spapros,expression,0.9665535376948295,computed
MERFISH,SRTsim-rb-domain,Spapros,spatial_gene,0.9568926559771479,computed
MERFISH,SRTsim-rb-domain,Spapros,layout,0.9996607760556893,computed
MERFISH,SRTsim-rb-domain,Spapros,proximity_composition,0.9999915653074136,computed
MERFISH,scCube-rfb,Spapros,expression,0.6503523868957101,computed
MERFISH,scCube-rfb,Spapros,spatial_gene,0.8303432062547349,computed
MERFISH,scCube-rfb,Spapros,layout,0.9998302380225,computed
MERFISH,scCube-rfb,Spapros,proximity_composition,0.9999986241481859,computed
Visium,SRTsim-rb-tissue,SpatialDE,expression,0.9874565166975882,computed
Visium,SRTsim-rb-tissue,SpatialDE,spatial_gene,0.9864791765200374,computed
Visium,SRTsim-rb-tissue,SpatialDE,layout,1.0,computed
Visium,SRTsim-rb-tissue,SpatialDE,proximity_composition,0.9986575229808141,computed
MERFISH,scDesign3-rb,Spapros,expression,0.9267879783567564,computed
MERFISH,scDesign3-rb,Spapros,spatial_gene,0.8040084804940362,computed
MERFISH,scDesign3-rb,Spapros,layout,0.9989724816514584,computed
MERFISH,scDesign3-rb,Spapros,proximity_composition,0.9999872988883024,computed
MERFISH,SRTsim-rf-tissue,Spapros,expression,0.9421136685013687,computed
MERFISH,SRTsim-rf-tissue,Spapros,spatial_gene,0.7844204156780041,computed
MERFISH,SRTsim-rf-tissue,Spapros,layout,0.8841738262268573,computed
MERFISH,SRTsim-rf-tissue,Spapros,proximity_composition,0.9421124048168248,computed
Visium,scDesign3-rb,Spapros,expression,0.9602753942486085,computed
Visium,scDesign3-rb,Spapros,spatial_gene,0.8514810909577715,computed
Visium,scDesign3-rb,Spapros,layout,1.0,computed
Visium,scDesign3-rb,Spapros,proximity_composition,0.9916046439110707,computed
Xenium,SRTsim-rb-domain,Xenium,expression,0.9870761612203478,computed
Xenium,SRTsim-rb-domain,Xenium,spatial_gene,0.9995341897473187,computed
Xenium,SRTsim-rb-domain,Xenium,layout,0.9999714024775895,computed
Xenium,SRTsim-rb-domain,Xenium,proximity_composition,0.9999999879327457,computed
MERFISH,SRTsim-rb-tissue,Spapros,expression,0.9502222124558111,computed
MERFISH,SRTsim-rb-tissue,Spapros,spatial_gene,0.9247452879932769,computed
MERFISH,SRTsim-rb-tissue,Spapros,layout,0.9995028804585341,computed
MERFISH,SRTsim-rb-tissue,Spapros,proximity_composition,0.9999974642532474,computed
