platform,simulator,dataset_variant,perturbation,replicate,summary,score,delta,expected_damaged_layer,evidence_state
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,2,Novelty-Gated Plausibility,0.8754909246558739,0.87508181238916,expression,computed
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,3,Balanced Realism,0.8774668043128783,-0.09244964832492286,expression,computed
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,3,Spatial Tissue Fidelity,0.8441874475775119,-0.12326619776656367,expression,computed
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,3,Novelty-Gated Plausibility,0.8774668043128783,0.8770576920461645,expression,computed
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,4,Balanced Realism,0.8775270250556194,-0.09238942758218172,expression,computed
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,4,Spatial Tissue Fidelity,0.8442677419011667,-0.1231859034429088,expression,computed
Visium,SRTsim-rb-tissue,Spapros,gene_shuffle,4,Novelty-Gated Plausibility,0.8775270250556194,0.8771179127889056,expression,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,0,Balanced Realism,0.9362494083598508,-0.03366704427795031,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,0,Spatial Tissue Fidelity,0.9225642529734751,-0.04488939237060041,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,0,Novelty-Gated Plausibility,0.0003949114551277382,-1.420081158603543e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,1,Balanced Realism,0.9386908167988222,-0.03122563583897897,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,1,Spatial Tissue Fidelity,0.925819464225437,-0.04163418111863848,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,1,Novelty-Gated Plausibility,0.0003959412450005931,-1.3171021713180543e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,2,Balanced Realism,0.9357548954483917,-0.034161557189409386,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,2,Spatial Tissue Fidelity,0.9219049024248633,-0.04554874291921218,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,2,Novelty-Gated Plausibility,0.0003947028688133438,-1.440939790042984e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,3,Balanced Realism,0.9336449309781006,-0.03627152165970049,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_low,3,Spatial Tissue Fidelity,0.9190916164644749,-0.048362028879600616,spatial,computed
